ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
EN00000101,hello,helo,1,helo,INTJ,-,-,O,-
EN00000102,world,world,2,world,NOUN,-,-,O,-
EN00000103,!,!,3,-,PUNCT,-,-,O,-
EN00000201,how,hao,1,hao,ADV,-,-,O,-
EN00000202,are,ar,2,ar,AUX,-,-,O,-
EN00000203,you,ju,3,ju,PRON,-,-,O,-
EN00000204,?,?,4,-,PUNCT,-,-,O,-
EN00000301,I,ai,1,ai,PRON,-,-,O,-
EN00000302,am,aem,2,aem,AUX,-,-,O,-
EN00000303,fine,fain,3,fain,ADJ,-,-,O,-
EN00000304,.,.,4,-,PUNCT,-,-,O,-
EN00000401,thank,thaenk,1,thaenk,VERB,-,-,O,-
EN00000402,you,ju,2,ju,PRON,-,-,O,-
EN00000403,!,!,3,-,PUNCT,-,-,O,-
EN00000501,goodbye,goodbai,1,goodbai,INTJ,-,-,O,-
EN00000502,.,.,2,-,PUNCT,-,-,O,-
EN00000601,what,waat,1,waat,PRON,-,-,O,-
EN00000602,is,iz,2,iz,AUX,-,-,O,-
EN00000603,your,jor,3,jor,PRON,-,-,O,-
EN00000604,name,neim,4,neim,NOUN,-,-,O,-
EN00000605,?,?,5,-,PUNCT,-,-,O,-
EN00000701,my,mai,1,mai,PRON,-,-,O,-
EN00000702,name,neim,2,neim,NOUN,-,-,O,-
EN00000703,is,iz,3,iz,AUX,-,-,O,-
EN00000704,John,dzaan,4,dzaan,PROPN,-,PER,-
EN00000705,.,.,5,-,PUNCT,-,-,O,-
EN00000801,nice,nais,1,nais,ADJ,-,-,O,-
EN00000802,to,tu,2,tu,PART,-,-,O,-
EN00000803,meet,miit,3,miit,VERB,-,-,O,-
EN00000804,you,ju,4,ju,PRON,-,-,O,-
EN00000805,!,!,5,-,PUNCT,-,-,O,-
EN00000901,where,wea,1,wea,ADV,-,-,O,-
EN00000902,are,ar,2,ar,AUX,-,-,O,-
EN00000903,you,ju,3,ju,PRON,-,-,O,-
EN00000904,from,from,4,from,ADP,-,-,O,-
EN00000905,?,?,5,-,PUNCT,-,-,O,-
EN00001001,I,ai,1,ai,PRON,-,-,O,-
EN00001002,am,aem,2,aem,AUX,-,-,O,-
EN00001003,from,from,3,from,ADP,-,-,O,-
EN00001004,America,amerika,4,amerika,PROPN,-,LOC,-
EN00001005,.,.,5,-,PUNCT,-,-,O,-
EN00001101,how,hao,1,hao,ADV,-,-,O,-
EN00001102,old,ould,2,ould,ADJ,-,-,O,-
EN00001103,are,ar,3,ar,AUX,-,-,O,-
EN00001104,you,ju,4,ju,PRON,-,-,O,-
EN00001105,?,?,5,-,PUNCT,-,-,O,-
EN00001201,I,ai,1,ai,PRON,-,-,O,-
EN00001202,am,aem,2,aem,AUX,-,-,O,-
EN00001203,twenty,twenti,3,twenti,NUM,-,CARD,-
EN00001204,years,jiarz,4,jiarz,NOUN,-,PLUR,-
EN00001205,old,ould,5,ould,ADJ,-,-,O,-
EN00001206,.,.,6,-,PUNCT,-,-,O,-
EN00001301,what,waat,1,waat,PRON,-,-,O,-
EN00001302,do,du,2,du,AUX,-,-,O,-
EN00001303,you,ju,3,ju,PRON,-,-,O,-
EN00001304,do,du,4,du,VERB,-,-,O,-
EN00001305,?,?,5,-,PUNCT,-,-,O,-
EN00001401,I,ai,1,ai,PRON,-,-,O,-
EN00001402,am,aem,2,aem,AUX,-,-,O,-
EN00001403,a,ei,3,ei,DET,-,-,O,-
EN00001404,student,stjuudnt,4,stjuudnt,NOUN,-,-,O,-
EN00001405,.,.,5,-,PUNCT,-,-,O,-
EN00001501,do,du,1,du,AUX,-,-,O,-
EN00001502,you,ju,2,ju,PRON,-,-,O,-
EN00001503,like,laik,3,laik,VERB,-,-,O,-
EN00001504,music,mjuuzik,4,mjuuzik,NOUN,-,-,O,-
EN00001505,?,?,5,-,PUNCT,-,-,O,-
EN00001601,yes,jes,1,jes,INTJ,-,-,O,-
EN00001602,I,ai,2,ai,PRON,-,-,O,-
EN00001603,do,du,3,du,AUX,-,-,O,-
EN00001604,!,!,4,-,PUNCT,-,-,O,-
EN00001701,what,waat,1,waat,PRON,-,-,O,-
EN00001702,kind,kaind,2,kaind,NOUN,-,-,O,-
EN00001703,of,ov,3,ov,ADP,-,-,O,-
EN00001704,music,mjuuzik,4,mjuuzik,NOUN,-,-,O,-
EN00001705,?,?,5,-,PUNCT,-,-,O,-
EN00001801,I,ai,1,ai,PRON,-,-,O,-
EN00001802,like,laik,2,laik,VERB,-,-,O,-
EN00001803,rock,rok,3,rok,NOUN,-,-,O,-
EN00001804,music,mjuuzik,4,mjuuzik,NOUN,-,-,O,-
EN00001805,.,.,5,-,PUNCT,-,-,O,-
EN00001901,that,daet,1,daet,DET,-,-,O,-
EN00001902,is,iz,2,iz,AUX,-,-,O,-
EN00001903,great,greit,3,greit,ADJ,-,-,O,-
EN00001904,!,!,4,-,PUNCT,-,-,O,-
EN00002001,see,si,1,si,VERB,-,-,O,-
EN00002002,you,ju,2,ju,PRON,-,-,O,-
EN00002003,later,leita,3,leita,ADV,-,-,O,-
EN00002004,!,!,4,-,PUNCT,-,-,O,-
